"ID","Status","Comment"
"client-data-schema","pass",
"client-uri-template","not-impl",
"td-security-overrides", "pass",
"td-readOnly-observable-default", "fail",
"td-media-type-default", "fail",
"td-vocab-name", "pass",
"td-vocab-links", "pass",
"td-vocab-created", "not-impl",
"td-vocab-securityDefinitions", "not-impl",
"td-vocab-properties", "pass",
"td-vocab-description", "pass",
"td-vocab-events", "pass",
"td-vocab-version", "pass",
"td-vocab-security", "pass",
"td-vocab-actions", "pass",
"td-vocab-support", "not-impl",
"td-vocab-lastModified", "not-impl",
"td-vocab-base", "pass",
"td-vocab-title", "pass",
"td-vocab-forms", "pass",
"td-vocab-scopes", "not-impl",
"td-vocab-uriVariables", "not-impl",
"td-vocab-observable", "pass",
"td-vocab-safe", "not-impl",
"td-vocab-output", "not-impl",
"td-vocab-idempotent", "not-impl",
"td-vocab-input", "not-impl",
"td-vocab-subscription", "not-impl",
"td-vocab-data", "not-impl",
"td-vocab-cancellation", "not-impl",
"td-vocab-href", "pass",
"td-vocab-subprotocol", "pass",
"td-vocab-op", "pass",
"td-vocab-contentType", "fail",
"td-vocab-anchor", "not-impl",
"td-vocab-type", "not-impl",
"td-vocab-rel", "pass",
"td-vocab-instance", "not-impl",
"td-vocab-enum", "not-impl",
"td-vocab-unit", "not-impl",
"td-vocab-oneOf", "not-impl",
"td-vocab-const", "not-impl",
"td-vocab-writeOnly", "fail",
"td-vocab-readOnly", "fail",
"td-vocab-minItems", "not-impl",
"td-vocab-items", "not-impl",
"td-vocab-maxItems", "not-impl",
"td-vocab-maximum", "not-impl",
"td-vocab-minimum", "not-impl",
"td-vocab-required", "not-impl",
"td-vocab-proxy", "not-impl",
"td-vocab-scheme", "pass",
"td-vocab-in", "not-impl",
"td-vocab-qop", "not-impl",
"td-vocab-alg", "not-impl",
"td-vocab-format", "not-impl",
"td-vocab-authorization", "not-impl",
"td-vocab-identity", "not-impl",
"td-vocab-flow", "not-impl",
"td-vocab-token", "not-impl",
"td-vocab-refresh", "not-impl",
