"ID","Status","Comment"
"td-vocabulary","pass",
"td-unique-identifiers","pass",
"td-jsonld-keywords","pass",
"td-string-type","pass",
"td-integer-type","pass",
"td-number-type","not-impl",
"td-context","pass",
"td-context-jsonld","pass",
"td-additional-contexts","pass",
"td-context-toplevel","pass",
"td-objects","pass",
"td-arrays","pass",
"td-properties","pass",
"td-property-names","pass",
"td-property-objects","pass",
"td-property-arrays","pass",
"td-property-semantic","pass",
"td-property-defaults","pass",
"td-actions","pass",
"td-action-names","pass",
"td-action-objects","pass",
"td-action-arrays","pass",
"td-action-semantic","pass",
"td-events","not-impl",
"td-event-names","not-impl",
"td-event-objects","not-impl",
"td-event-arrays","not-impl",
"td-event-semantic","not-impl",
"td-forms","pass",
"td-event-response-arrays","not-impl",
"td-form-protocolbindings","pass",
"td-form-contenttype","pass",
"td-forms-response","pass",
"td-links","not-impl",
"td-security","pass",
"td-security-mandatory","pass",
"td-version","not-impl",
"td-media-type","pass",
"td-readOnly-observable-default","pass",
"td-content-type-default","not-impl",
"td-jsonld-preprocessing-context","not-impl",
"td-jsonld-preprocessing-prefix","not-impl",
"td-jsonld-preprocessing-defaults","not-impl",
"td-vocab-links","not-impl",
"td-vocab-created","not-impl",
"td-vocab-version","not-impl",
"td-vocab-security","pass",
"td-vocab-events","not-impl",
"td-vocab-description","pass",
"td-vocab-name","pass",
"td-vocab-actions","pass",
"td-vocab-securityDefinitions","pass",
"td-vocab-support","not-impl",
"td-vocab-base","not-impl",
"td-vocab-lastModified","not-impl",
"td-vocab-properties","pass",
"td-vocab-uriVariables","pass",
"td-vocab-forms","pass",
"td-vocab-scopes","not-impl",
"td-vocab-title","pass",
"td-vocab-observable","pass",
"td-vocab-idempotent","not-impl",
"td-vocab-output","not-impl",
"td-vocab-input","pass",
"td-vocab-safe","not-impl",
"td-vocab-subscription","not-impl",
"td-vocab-data","not-impl",
"td-vocab-cancellation","not-impl",
"td-vocab-href","pass",
"td-vocab-response","pass",
"td-vocab-contentType","pass",
"td-vocab-subprotocol","pass",
"td-vocab-op","pass",
"td-vocab-rel","not-impl",
"td-vocab-type","pass",
"td-vocab-anchor","not-impl",
"td-vocab-instance","not-impl",
"td-vocab-readOnly","not-impl",
"td-vocab-enum","not-impl",
"td-vocab-const","not-impl",
"td-vocab-writeOnly","not-impl",
"td-vocab-oneOf","not-impl",
"td-vocab-unit","not-impl",
"td-vocab-maxItems","not-impl",
"td-vocab-items","not-impl",
"td-vocab-minItems","not-impl",
"td-vocab-minimum","pass",
"td-vocab-maximum","pass",
"td-vocab-required","not-impl",
"td-vocab-scheme","pass",
"td-vocab-proxy","not-impl",
"td-vocab-in","not-impl",
"td-vocab-qop","not-impl",
"td-vocab-authorization","not-impl",
"td-vocab-alg","not-impl",
"td-vocab-format","not-impl",
"td-vocab-identity","not-impl",
"td-vocab-refresh","not-impl",
"td-vocab-token","not-impl",
"td-vocab-flow","not-impl",
"client-data-schema","pass",
"client-uri-template","pass",
