"ID","Status","Comment"
"td-vocabulary","pass",
"td-unique-identifiers","pass",
"td-jsonld-keywords","pass",
"td-string-type","pass",
"td-integer-type","pass",
"td-number-type","pass",
"td-context","pass",
"td-context-jsonld","pass",
"td-additional-contexts","pass",
"td-context-toplevel","pass",
"td-objects","pass",
"td-arrays","pass",
"td-properties","pass",
"td-property-names","pass",
"td-property-objects","pass",
"td-property-arrays","pass",
"td-property-semantic","pass",
"td-property-defaults","fail","writable should be updated."
"td-actions","not-impl",
"td-action-names","not-impl",
"td-action-objects","not-impl",
"td-action-arrays","not-impl",
"td-action-semantic","not-impl",
"td-events","pass",
"td-event-names","pass",
"td-event-objects","pass",
"td-event-arrays","pass",
"td-event-semantic","pass",
"td-forms","pass",
"td-event-response-arrays","not-impl",
"td-form-protocolbindings","pass",
"td-form-contenttype","fail","mediaType should be updated."
"td-forms-response","not-impl",
"td-links","not-impl",
"td-security","fail","security should be updated to choosing definitions from securityDefinitions."
"td-security-mandatory","fail","security should be updated to choosing definitions from securityDefinitions."
"td-security-overrides","fail","security should be updated to choosing definitions from securityDefinitions."
"td-security-binding","fail","security should be updated to choosing definitions from securityDefinitions."
"td-security-no-extras","not-impl",
"td-version","not-impl",
"td-media-type","pass",
"td-readOnly-observable-default","fail","writable should be updated."
"td-content-type-default","fail","mediaType should be updated."
"td-jsonld-preprocessing-context","pass",
"td-jsonld-preprocessing-prefix","pass",
"td-jsonld-preprocessing-defaults","pass",
"td-vocab-links","not-impl",
"td-vocab-created","not-impl",
"td-vocab-version","not-impl",
"td-vocab-security","fail","security should be updated to choosing definitions from securityDefinitions."
"td-vocab-events","pass",
"td-vocab-description","not-impl",
"td-vocab-name","pass",
"td-vocab-actions","not-impl",
"td-vocab-securityDefinitions","not-impl",
"td-vocab-support","not-impl",
"td-vocab-base","pass",
"td-vocab-lastModified","not-impl",
"td-vocab-properties","pass",
"td-vocab-uriVariables","not-impl",
"td-vocab-forms","pass",
"td-vocab-scopes","not-impl",
"td-vocab-title","pass",
"td-vocab-observable","pass",
"td-vocab-idempotent","not-impl",
"td-vocab-output","not-impl",
"td-vocab-input","not-impl",
"td-vocab-safe","not-impl",
"td-vocab-subscription","not-impl",
"td-vocab-data","pass",
"td-vocab-cancellation","not-impl",
"td-vocab-href","pass",
"td-vocab-response","not-impl",
"td-vocab-contentType","not-impl",
"td-vocab-subprotocol","pass",
"td-vocab-op","pass",
"td-vocab-rel","not-impl",
"td-vocab-type","not-impl",
"td-vocab-anchor","not-impl",
"td-vocab-instance","not-impl",
"td-vocab-readOnly","not-impl",
"td-vocab-enum","pass",
"td-vocab-const","not-impl",
"td-vocab-writeOnly","not-impl",
"td-vocab-oneOf","not-impl",
"td-vocab-unit","not-impl",
"td-vocab-maxItems","not-impl",
"td-vocab-items","not-impl",
"td-vocab-minItems","not-impl",
"td-vocab-minimum","pass",
"td-vocab-maximum","pass",
"td-vocab-required","not-impl",
"td-vocab-scheme","pass",
"td-vocab-proxy","not-impl",
"td-vocab-in","not-impl",
"td-vocab-qop","not-impl",
"td-vocab-authorization","fail","authorizationUrl should be updated to authorization."
"td-vocab-alg","pass",
"td-vocab-format","pass",
"td-vocab-identity","not-impl",
"td-vocab-refresh","not-impl",
"td-vocab-token","not-impl",
"td-vocab-flow","not-impl",
"client-data-schema","null",
"client-uri-template","null",
