"ID","Status","Comment"
"td-vocabulary","not-impl",
"td-unique-identifiers","not-impl",
"td-jsonld-keywords","not-impl",
"td-string-type","not-impl",
"td-integer-type","not-impl",
"td-number-type","not-impl",
"td-context","not-impl",
"td-context-jsonld","not-impl",
"td-additional-contexts","not-impl",
"td-context-toplevel","not-impl",
"td-objects","not-impl",
"td-arrays","not-impl",
"td-properties","not-impl",
"td-property-names","not-impl",
"td-property-objects","not-impl",
"td-property-arrays","not-impl",
"td-property-semantic","not-impl",
"td-property-defaults","not-impl",
"td-actions","not-impl",
"td-action-names","not-impl",
"td-action-objects","not-impl",
"td-action-arrays","not-impl",
"td-action-semantic","not-impl",
"td-events","not-impl",
"td-event-names","not-impl",
"td-event-objects","not-impl",
"td-event-arrays","not-impl",
"td-event-semantic","not-impl",
"td-forms","not-impl",
"td-event-response-arrays","not-impl",
"td-form-protocolbindings","not-impl",
"td-form-contenttype","not-impl",
"td-forms-response","not-impl",
"td-links","not-impl",
"td-security","not-impl",
"td-security-mandatory","not-impl",
"td-security-overrides","pass","Only 'nosec' is recognized."
"td-security-binding","not-impl",
"td-security-no-extras","not-impl",
"td-version","not-impl",
"td-media-type","not-impl",
"td-readOnly-observable-default","pass",
"td-content-type-default","pass",
"td-jsonld-preprocessing-context","not-impl",
"td-jsonld-preprocessing-prefix","not-impl",
"td-jsonld-preprocessing-defaults","not-impl",
"td-vocab-links","not-impl",
"td-vocab-created","not-impl",
"td-vocab-version","not-impl",
"td-vocab-security","fail","Instead old inline security definition is supported"
"td-vocab-events","pass",
"td-vocab-description","not-impl",
"td-vocab-name","pass",
"td-vocab-actions","pass",
"td-vocab-securityDefinitions","not-impl",
"td-vocab-support","not-impl",
"td-vocab-base","pass",
"td-vocab-lastModified","not-impl",
"td-vocab-properties","pass",
"td-vocab-uriVariables","not-impl",
"td-vocab-forms","pass",
"td-vocab-scopes","not-impl",
"td-vocab-title","pass",
"td-vocab-observable","pass",
"td-vocab-idempotent","not-impl",
"td-vocab-output","pass",
"td-vocab-input","pass",
"td-vocab-safe","not-impl",
"td-vocab-subscription","not-impl",
"td-vocab-data","pass",
"td-vocab-cancellation","not-impl",
"td-vocab-href","pass",
"td-vocab-response","not-impl",
"td-vocab-contentType","not-impl","Always assume 'application/json'"
"td-vocab-subprotocol","pass","Only 'longpoll' is recognized"
"td-vocab-op","pass","Only 'observeproperty' is recoginized"
"td-vocab-rel","not-impl",
"td-vocab-type","pass",
"td-vocab-anchor","not-impl",
"td-vocab-instance","not-impl",
"td-vocab-readOnly","not-impl","Instead old 'writable' is supported"
"td-vocab-enum","pass",
"td-vocab-const","not-impl",
"td-vocab-writeOnly","not-impl",
"td-vocab-oneOf","not-impl",
"td-vocab-unit","not-impl",
"td-vocab-maxItems","not-impl",
"td-vocab-items","pass",
"td-vocab-minItems","not-impl",
"td-vocab-minimum","pass",
"td-vocab-maximum","pass",
"td-vocab-required","not-impl",
"td-vocab-scheme","pass","Only 'nosec' and 'bearer' are recognized, others can be handled by generic header addition mechanism"
"td-vocab-proxy","not-impl",
"td-vocab-in","not-impl","Always assume 'header'"
"td-vocab-qop","not-impl",
"td-vocab-authorization","not-impl","Instead old 'authorizationUrl' is supported"
"td-vocab-alg","not-impl","Opaque to client"
"td-vocab-format","not-impl","Opaque to client"
"td-vocab-identity","not-impl",
"td-vocab-refresh","not-impl",
"td-vocab-token","not-impl",
"td-vocab-flow","not-impl",
"client-data-schema","pass","Within the range of implementation"
"client-uri-template","not-impl","URI template not supported"
