"ID","Status","Comment"
"td-vocabulary","not-impl",
"td-unique-identifiers","not-impl",
"td-jsonld-keywords","not-impl",
"td-string-type","not-impl",
"td-integer-type","not-impl",
"td-number-type","not-impl",
"td-context","not-impl",
"td-context-jsonld","not-impl",
"td-additional-contexts","not-impl",
"td-context-toplevel","not-impl",
"td-objects","not-impl",
"td-arrays","not-impl",
"td-properties","not-impl",
"td-property-names","not-impl",
"td-property-objects","not-impl",
"td-property-arrays","not-impl",
"td-property-semantic","pass","The client finds a specific thing according to a semantic annotation."
"td-property-defaults","not-impl",
"td-actions","not-impl",
"td-action-names","not-impl",
"td-action-objects","not-impl",
"td-action-arrays","not-impl",
"td-action-semantic","pass","The client finds a specific thing according to a semantic annotation."
"td-events","not-impl",
"td-event-names","not-impl",
"td-event-objects","not-impl",
"td-event-arrays","not-impl",
"td-event-semantic","pass","The client finds a specific thing according to a semantic annotation."
"td-forms","not-impl",
"td-event-response-arrays","not-impl",
"td-form-protocolbindings","not-impl",
"td-form-contenttype","not-impl",
"td-forms-response","not-impl",
"td-links","not-impl",
"td-security","not-impl",
"td-security-mandatory","not-impl",
"td-security-overrides","not-impl",
"td-security-binding","not-impl",
"td-security-no-extras","not-impl",
"td-version","not-impl",
"td-media-type","not-impl",
"td-readOnly-observable-default","fail","The client assumes 'readOnly=true' against the current TD spec if 'readOnly' is not present."
"td-content-type-default","fail","The client supports only 'mediaType' and 'contenttype' based on the old TD spec."
"td-jsonld-preprocessing-context","not-impl",
"td-jsonld-preprocessing-prefix","not-impl",
"td-jsonld-preprocessing-defaults","not-impl",
"td-vocab-links","not-impl",
"td-vocab-created","not-impl",
"td-vocab-version","not-impl",
"td-vocab-security","fail","Instead old inline security definition is supported"
"td-vocab-events","pass",
"td-vocab-description","not-impl",
"td-vocab-name","pass",
"td-vocab-actions","pass",
"td-vocab-securityDefinitions","not-impl",
"td-vocab-support","not-impl",
"td-vocab-base","pass",
"td-vocab-lastModified","not-impl",
"td-vocab-properties","pass",
"td-vocab-uriVariables","not-impl",
"td-vocab-forms","pass",
"td-vocab-scopes","not-impl",
"td-vocab-title","not-impl",
"td-vocab-observable","not-impl",
"td-vocab-idempotent","not-impl",
"td-vocab-output","not-impl",
"td-vocab-input","pass",
"td-vocab-safe","not-impl",
"td-vocab-subscription","not-impl",
"td-vocab-data","not-impl",
"td-vocab-cancellation","not-impl",
"td-vocab-href","pass",
"td-vocab-response","not-impl",
"td-vocab-contentType","fail","The client supports only 'mediaType' and 'contenttype' based on the old TD spec."
"td-vocab-subprotocol","pass",
"td-vocab-op","not-impl",
"td-vocab-rel","not-impl",
"td-vocab-type","pass",
"td-vocab-anchor","not-impl",
"td-vocab-instance","not-impl",
"td-vocab-readOnly","not-impl","Instead old 'writable' is supported"
"td-vocab-enum","not-impl",
"td-vocab-const","not-impl",
"td-vocab-writeOnly","not-impl",
"td-vocab-oneOf","not-impl",
"td-vocab-unit","not-impl",
"td-vocab-maxItems","not-impl",
"td-vocab-items","not-impl",
"td-vocab-minItems","not-impl",
"td-vocab-minimum","not-impl",
"td-vocab-maximum","not-impl",
"td-vocab-required","not-impl",
"td-vocab-scheme","pass","Only 'nosec', 'basic' and 'bearer' are recognized."
"td-vocab-proxy","not-impl",
"td-vocab-in","not-impl",
"td-vocab-qop","not-impl",
"td-vocab-authorization","not-impl",
"td-vocab-alg","not-impl",
"td-vocab-format","not-impl",
"td-vocab-identity","not-impl",
"td-vocab-refresh","not-impl",
"td-vocab-token","not-impl",
"td-vocab-flow","not-impl",
"client-data-schema","pass","Within the range of implementation."
"client-uri-template","not-impl","URI template is not supported."
