"ID","Status","Comment"
"td-vocabulary","pass",
"td-unique-identifiers","pass",
"td-jsonld-keywords","pass",
"td-string-type","not-impl",
"td-integer-type","not-impl",
"td-number-type","pass",
"td-context","pass",
"td-context-jsonld","pass",
"td-additional-contexts","pass",
"td-context-toplevel","pass",
"td-objects","pass",
"td-arrays","pass",
"td-properties","not-impl",
"td-property-names","not-impl",
"td-property-objects","not-impl",
"td-property-arrays","not-impl",
"td-property-semantic","not-impl",
"td-property-defaults","not-impl",
"td-actions","pass",
"td-action-names","pass",
"td-action-objects","pass",
"td-action-arrays","pass",
"td-action-semantic","pass",
"td-events","not-impl",
"td-event-names","not-impl",
"td-event-objects","not-impl",
"td-event-arrays","not-impl",
"td-event-semantic","not-impl",
"td-forms","pass",
"td-event-response-arrays","not-impl",
"td-form-protocolbindings","not-impl",
"td-form-contenttype","fail","mediaType should be updated."
"td-forms-response","not-impl",
"td-links","not-impl",
"td-security","fail","security should be updated to choosing definitions from securityDefinitions."
"td-security-mandatory","fail","security should be updated to choosing definitions from securityDefinitions."
"td-security-overrides","fail","security should be updated to choosing definitions from securityDefinitions."
"td-security-binding","fail","security should be updated to choosing definitions from securityDefinitions."
"td-security-no-extras","not-impl",
"td-version","not-impl",
"td-media-type","pass",
"td-readOnly-observable-default","not-impl",
"td-content-type-default","fail","mediaType should be updated."
"td-jsonld-preprocessing-context","pass",
"td-jsonld-preprocessing-prefix","pass",
"td-jsonld-preprocessing-defaults","pass",
"td-vocab-links","not-impl",
"td-vocab-created","not-impl",
"td-vocab-version","not-impl",
"td-vocab-security","fail","security should be updated to choosing definitions from securityDefinitions."
"td-vocab-events","not-impl",
"td-vocab-description","not-impl",
"td-vocab-name","pass",
"td-vocab-actions","pass",
"td-vocab-securityDefinitions","not-impl",
"td-vocab-support","not-impl",
"td-vocab-base","pass",
"td-vocab-lastModified","not-impl",
"td-vocab-properties","not-impl",
"td-vocab-uriVariables","not-impl",
"td-vocab-forms","pass",
"td-vocab-scopes","not-impl",
"td-vocab-title","pass",
"td-vocab-observable","not-impl",
"td-vocab-idempotent","not-impl",
"td-vocab-output","not-impl",
"td-vocab-input","pass",
"td-vocab-safe","not-impl",
"td-vocab-subscription","not-impl",
"td-vocab-data","not-impl",
"td-vocab-cancellation","not-impl",
"td-vocab-href","pass",
"td-vocab-response","not-impl",
"td-vocab-contentType","not-impl",
"td-vocab-subprotocol","not-impl",
"td-vocab-op","not-impl",
"td-vocab-rel","not-impl",
"td-vocab-type","pass",
"td-vocab-anchor","not-impl",
"td-vocab-instance","not-impl",
"td-vocab-readOnly","not-impl",
"td-vocab-enum","not-impl",
"td-vocab-const","not-impl",
"td-vocab-writeOnly","not-impl",
"td-vocab-oneOf","not-impl",
"td-vocab-unit","not-impl",
"td-vocab-maxItems","not-impl",
"td-vocab-items","not-impl",
"td-vocab-minItems","not-impl",
"td-vocab-minimum","pass",
"td-vocab-maximum","pass",
"td-vocab-required","not-impl",
"td-vocab-scheme","pass",
"td-vocab-proxy","not-impl",
"td-vocab-in","not-impl",
"td-vocab-qop","not-impl",
"td-vocab-authorization","fail","authorizationUrl should be updated to authorization."
"td-vocab-alg","pass",
"td-vocab-format","pass",
"td-vocab-identity","not-impl",
"td-vocab-refresh","not-impl",
"td-vocab-token","not-impl",
"td-vocab-flow","not-impl",
"client-data-schema","null",
"client-uri-template","null",
