"ID","Status","additionalInfo"
"client-data-schema","null","not testable with Assertion Tester"
"client-data-schema-accept-extras","null","not testable with Assertion Tester"
"client-data-schema-no-extras","null","not testable with Assertion Tester"
"client-uri-template","null","not testable with Assertion Tester"
"server-data-schema","null","not testable with Assertion Tester"
"server-data-schema-extras","null","not testable with Assertion Tester"
"server-uri-template","null","not testable with Assertion Tester"
"td-action-arrays","not-impl","Error message can be seen in the children assertions"
"td-action-arrays_forms","not-impl","data should have required property 'actions'"
"td-action-arrays_scopes","not-impl","data should have required property 'actions'"
"td-action-arrays_security","not-impl","data should have required property 'actions'"
"td-action-names","not-impl","data should have required property 'actions'"
"td-action-names","not-impl","data should have required property 'actions'"
"td-action-objects","not-impl","data should have required property 'actions'"
"td-actions","not-impl","Error message can be seen in the children assertions"
"td-actions_existence","not-impl","data should have required property 'actions'"
"td-actions_uniqueness","pass",
"td-additional-contexts","not-impl",
"td-arrays","not-impl","Error message can be seen in the children assertions"
"td-arrays_scopes","not-impl",
"td-arrays_security","pass",
"td-at-type","pass",
"td-content-type-default","null","not testable with Assertion Tester"
"td-context","not-impl",
"td-context-toplevel","pass",
"td-data-schema","not-impl","Error message can be seen in the children assertions"
"td-data-schema-arrays","not-impl","Error message can be seen in the children assertions"
"td-data-schema-arrays_enum","pass",
"td-data-schema-arrays_oneOf","not-impl",
"td-data-schema-arrays_required","not-impl",
"td-data-schema-objects","null","not testable with Assertion Tester"
"td-data-schema_const","not-impl",
"td-data-schema_description","not-impl",
"td-data-schema_description","not-impl",
"td-data-schema_descriptions","not-impl",
"td-data-schema_enum","pass",
"td-data-schema_items","not-impl",
"td-data-schema_maxItems","not-impl",
"td-data-schema_maximum1","not-impl",
"td-data-schema_maximum2","not-impl",
"td-data-schema_minItems","not-impl",
"td-data-schema_minimum1","not-impl",
"td-data-schema_minimum2","not-impl",
"td-data-schema_oneOf","not-impl",
"td-data-schema_properties","not-impl",
"td-data-schema_readOnly","pass",
"td-data-schema_required","not-impl",
"td-data-schema_title","not-impl",
"td-data-schema_titles","not-impl",
"td-data-schema_type","pass",
"td-data-schema_unit","not-impl",
"td-data-schema_writeOnly","pass",
"td-event-arrays","not-impl","data should have required property 'events'"
"td-event-names","not-impl","data should have required property 'events'"
"td-event-objects","not-impl","data should have required property 'events'"
"td-event-response-object","not-impl",
"td-events","not-impl","Error message can be seen in the children assertions"
"td-events_existence","not-impl","data should have required property 'events'"
"td-events_uniqueness","pass",
"td-form-protocolbindings","null","not testable with Assertion Tester"
"td-forms-response","not-impl",
"td-integer-type","not-impl",
"td-jsonld-keywords","not-impl","Error message can be seen in the children assertions"
"td-jsonld-keywords_@context","not-impl",
"td-jsonld-keywords_@type","pass",
"td-links","not-impl","data should have required property 'links'"
"td-media-type","null","not testable with Assertion Tester"
"td-multi-languages","not-impl","Error message can be seen in the children assertions"
"td-multi-languages_descriptions","not-impl",
"td-multi-languages_titles","not-impl",
"td-number-type","not-impl",
"td-objects","not-impl","Error message can be seen in the children assertions"
"td-objects_securityDefinitions","pass",
"td-objects_version","not-impl","data should have required property 'version'"
"td-op-for-action","not-impl",
"td-op-for-event","not-impl",
"td-op-for-property","not-impl",
"td-op-for-thing","not-impl","data should have required property 'forms'"
"td-properties","pass",
"td-properties_existence","pass",
"td-properties_uniqueness","pass",
