"ID","Status","Comment"
"client-data-schema","not-impl","client test"
"client-data-schema-accept-extras","not-impl","client test"
"client-data-schema-no-extras","not-impl","client test"
"client-uri-template","not-impl","client test"
"server-data-schema","pass",
"server-data-schema-extras","not-impl","no additional data"
"server-uri-template","pass",
"td-content-type-default","not-impl","contentType is always present"
"td-data-schema-objects","pass",
"td-form-protocolbindings","not-impl","no protocol-specific vocabulary"
"td-media-type","not-impl","no application/td+json"
"td-readOnly-observable-default","pass","at PanasonicCleanerP1"
"td-readOnly-observable-writeOnly-default","pass",
"td-security-binding","pass","bearer"
"td-security-no-extras","pass","nosec"
