"ID","Status","Comment"
"client-data-schema","pass",
"client-data-schema-accept-extras","null",
"client-data-schema-no-extras","pass",
"client-uri-template","pass",
"server-data-schema","pass",
"server-data-schema-extras","null",
"server-uri-template","pass",
"td-action-arrays","not-impl",
"td-action-arrays_forms","pass",
"td-action-arrays_scopes","not-impl",
"td-action-arrays_security","not-impl",
"td-action-names","not-impl",
"td-action-names_description","pass",
"td-action-names_descriptions","not-impl",
"td-action-names_forms","pass",
"td-action-names_idempotent","pass",
"td-action-names_input","pass",
"td-action-names_output","pass",
"td-action-names_safe","pass",
"td-action-names_scopes","not-impl",
"td-action-names_security","not-impl",
"td-action-names_title","not-impl",
"td-action-names_titles","not-impl",
"td-action-names_uriVariables","pass",
"td-action-objects","pass",
"td-action-objects_input","pass",
"td-action-objects_output","pass",
"td-actions","pass",
"td-actions_existence","pass",
"td-actions_uniqueness","pass",
"td-additional-contexts","pass",
"td-arrays","not-impl",
"td-arrays_forms","pass",
"td-arrays_links","pass",
"td-arrays_scopes","not-impl",
"td-arrays_security","pass",
"td-at-type","pass",
"td-content-type-default","pass",
"td-context","pass",
"td-context-toplevel","pass",
"td-data-schema","pass",
"td-data-schema-arrays","pass",
"td-data-schema-arrays_enum","pass",
"td-data-schema-arrays_oneOf","pass",
"td-data-schema-arrays_required","pass",
"td-data-schema-objects","pass", 
"td-data-schema_const","pass",
"td-data-schema_description","pass",
"td-data-schema_descriptions","pass",
"td-data-schema_enum","pass",
"td-data-schema_items","pass",
"td-data-schema_maxItems","pass",
"td-data-schema_maximum1","pass",
"td-data-schema_maximum2","pass",
"td-data-schema_minItems","pass",
"td-data-schema_minimum1","pass",
"td-data-schema_minimum2","pass",
"td-data-schema_oneOf","pass",
"td-data-schema_properties","pass",
"td-data-schema_readOnly","pass",
"td-data-schema_required","pass",
"td-data-schema_title","pass",
"td-data-schema_titles","pass",
"td-data-schema_type","pass",
"td-data-schema_unit","pass",
"td-data-schema_writeOnly","pass",
"td-default-alg","not-impl",
"td-default-contentType","pass",
"td-default-flow","not-impl",
"td-default-format","not-impl",
"td-default-idempotent","pass",
"td-default-in-1","pass",
"td-default-in-2","not-impl",
"td-default-observable","pass",
"td-default-qop","not-impl",
"td-default-readOnly","pass",
"td-default-safe","pass",
"td-default-writeOnly","pass",
"td-event-arrays","not-impl",
"td-event-arrays_forms","pass",
"td-event-arrays_scopes","not-impl",
"td-event-arrays_security","not-impl",
"td-event-names","not-impl",
"td-event-names_cancellation","pass",
"td-event-names_data","pass",
"td-event-names_description","pass",
"td-event-names_descriptions","not-impl",
"td-event-names_forms","pass",
"td-event-names_scopes","not-impl",
"td-event-names_security","not-impl",
"td-event-names_subscription","pass",
"td-event-names_title","not-impl",
"td-event-names_titles","not-impl",
"td-event-names_uriVariables","not-impl",
"td-event-objects","pass",
"td-event-objects_cancellation","pass",
"td-event-objects_data","pass",
"td-event-objects_subscription","pass",
"td-event-response-object","pass",
"td-events","pass",
"td-events_existence","pass",
"td-events_uniqueness","pass",
"td-form-protocolbindings","pass", test not correct: there is an example in eventsTest-siemens.json
"td-forms-response","pass",
"td-integer-type","pass",
"td-jsonld-keywords","pass",
"td-jsonld-keywords_at-context","pass",
"td-jsonld-keywords_at-type","pass",
"td-links","pass",
"td-media-type","not-impl",
"td-multi-languages","pass",
"td-multi-languages_descriptions","pass",
"td-multi-languages_titles","pass",
"td-number-type","pass",
"td-objects","pass",
"td-objects_securityDefinitions","pass",
"td-objects_version","pass",
"td-op-for-action","pass",
"td-op-for-event","pass",
"td-op-for-property","pass",
"td-op-for-thing","pass",
"td-properties","pass",
"td-properties_existence","pass",
"td-properties_uniqueness","pass",
"td-property-arrays","not-impl",
"td-property-arrays_forms","pass",
"td-property-arrays_scopes","not-impl",
"td-property-arrays_security","not-impl",
"td-property-names","not-impl",
"td-property-names_const","pass",
"td-property-names_description","pass",
"td-property-names_descriptions","pass",
"td-property-names_enum","pass",
"td-property-names_forms","pass",
"td-property-names_items","not-impl",
"td-property-names_maxItems","not-impl",
"td-property-names_maximum","not-impl",
"td-property-names_minItems","not-impl",
"td-property-names_minimum","not-impl",
"td-property-names_observable","pass",
"td-property-names_oneOf","pass",
"td-property-names_properties","pass",
"td-property-names_readOnly","pass",
"td-property-names_required","pass",
"td-property-names_scopes","not-impl",
"td-property-names_security","not-impl",
"td-property-names_title","pass",
"td-property-names_titles","pass",
"td-property-names_type","pass",
"td-property-names_unit","pass",
"td-property-names_uriVariables","not-impl",
"td-property-names_writeOnly","pass",
"td-readOnly-observable-default","pass", The id name does not make sense. I will write a issue.
"td-readOnly-observable-writeOnly-default","pass",
"td-security-binding","pass", There is basic example provided.
"td-security-mandatory","pass",
"td-security-no-extras","pass",
"td-security-overrides","not-impl",
"td-security-overrides_form","not-impl",
"td-security-overrides_interaction","not-impl",
"td-simple-form","pass",
"td-string-type","pass",
"td-title-description","pass",
"td-title-description_descriptions","pass",
"td-title-description_titles","pass",
"td-unique-identifiers","pass",
"td-uriVariables-dataschema","pass",
"td-uriVariables-names","pass",
"td-version","pass",
"td-version-container","pass",
"td-vocab-actions","pass",
"td-vocab-alg","not-impl",
"td-vocab-anchor","pass",
"td-vocab-authorization","not-impl",
"td-vocab-base","not-impl",
"td-vocab-cancellation","pass",
"td-vocab-const","pass",
"td-vocab-contentType-1","pass",
"td-vocab-contentType-2","pass",
"td-vocab-created","pass",
"td-vocab-data","pass",
"td-vocab-description","pass",
"td-vocab-descriptions","pass",
"td-vocab-enum","pass",
"td-vocab-events","pass",
"td-vocab-flow","not-impl",
"td-vocab-format","not-impl",
"td-vocab-forms-1","pass",
"td-vocab-forms-2","pass",
"td-vocab-href","pass",
"td-vocab-idempotent","pass",
"td-vocab-identity","not-impl",
"td-vocab-in","pass",
"td-vocab-input","pass",
"td-vocab-instance","pass",
"td-vocab-items","pass",
"td-vocab-lastModified","pass",
"td-vocab-links","pass",
"td-vocab-maxItems","pass",
"td-vocab-maximum-1","pass",
"td-vocab-maximum-2","pass",
"td-vocab-minItems","pass",
"td-vocab-minimum-1","pass",
"td-vocab-minimum-2","pass",
"td-vocab-name-1","pass",
"td-vocab-name-2","not-impl",
"td-vocab-observable","pass",
"td-vocab-oneOf","pass",
"td-vocab-op","pass",
"td-vocab-output","pass",
"td-vocab-properties-1","pass",
"td-vocab-properties-2","pass",
"td-vocab-proxy","not-impl",
