"ID","Status","additionalInfo"
"client-data-schema","null","not testable with Assertion Tester"
"client-data-schema-accept-extras","null","not testable with Assertion Tester"
"client-data-schema-no-extras","null","not testable with Assertion Tester"
"client-uri-template","null","not testable with Assertion Tester"
"server-data-schema","null","not testable with Assertion Tester"
"server-data-schema-extras","null","not testable with Assertion Tester"
"server-uri-template","null","not testable with Assertion Tester"
"td-action-arrays","not-impl","Error message can be seen in the children assertions"
"td-action-arrays_forms","pass",
"td-action-arrays_scopes","not-impl",
"td-action-arrays_security","not-impl",
"td-action-names","not-impl","Error message can be seen in the children assertions"
"td-action-names_description","pass",
"td-action-names_descriptions","not-impl",
"td-action-names_forms","pass",
"td-action-names_idempotent","not-impl",
"td-action-names_input","not-impl",
"td-action-names_output","not-impl",
"td-action-names_safe","not-impl",
"td-action-names_scopes","not-impl",
"td-action-names_security","not-impl",
"td-action-names_title","pass",
"td-action-names_titles","not-impl",
"td-action-names_uriVariables","not-impl",
"td-action-objects","not-impl","Error message can be seen in the children assertions"
"td-action-objects_input","not-impl",
"td-action-objects_output","not-impl",
"td-actions","pass",
"td-actions_existence","pass",
"td-actions_uniqueness","pass",
"td-additional-contexts","pass",
"td-arrays","not-impl","Error message can be seen in the children assertions"
"td-arrays_forms","pass",
"td-arrays_links","pass",
"td-arrays_scopes","not-impl",
"td-arrays_security","pass",
"td-at-type","pass",
"td-content-type-default","null","not testable with Assertion Tester"
"td-context","pass",
"td-context-toplevel","pass",
"td-data-schema","not-impl","Error message can be seen in the children assertions"
"td-data-schema-arrays","not-impl","Error message can be seen in the children assertions"
"td-data-schema-arrays_enum","not-impl",
"td-data-schema-arrays_oneOf","not-impl",
"td-data-schema-arrays_required","pass",
"td-data-schema-objects","null","not testable with Assertion Tester"
"td-data-schema_const","not-impl",
"td-data-schema_description","pass",
"td-data-schema_description","pass",
"td-data-schema_descriptions","not-impl",
"td-data-schema_enum","not-impl",
"td-data-schema_items","not-impl",
"td-data-schema_maxItems","not-impl",
"td-data-schema_maximum1","not-impl",
"td-data-schema_maximum2","not-impl",
"td-data-schema_minItems","not-impl",
"td-data-schema_minimum1","not-impl",
"td-data-schema_minimum2","not-impl",
"td-data-schema_oneOf","not-impl",
"td-data-schema_properties","pass",
"td-data-schema_readOnly","not-impl",
"td-data-schema_required","pass",
"td-data-schema_title","pass",
"td-data-schema_titles","not-impl",
"td-data-schema_type","pass",
"td-data-schema_unit","not-impl",
"td-data-schema_writeOnly","not-impl",
"td-default-alg","null","not testable with Assertion Tester"
"td-default-contentType","null","not testable with Assertion Tester"
"td-default-flow","null","not testable with Assertion Tester"
"td-default-format","null","not testable with Assertion Tester"
"td-default-idempotent","null","not testable with Assertion Tester"
"td-default-in-1","null","not testable with Assertion Tester"
"td-default-in-2","null","not testable with Assertion Tester"
"td-default-observable","null","not testable with Assertion Tester"
"td-default-qop","null","not testable with Assertion Tester"
"td-default-readOnly","null","not testable with Assertion Tester"
"td-default-safe","null","not testable with Assertion Tester"
"td-default-writeOnly","null","not testable with Assertion Tester"
"td-event-arrays","not-impl","Error message can be seen in the children assertions"
"td-event-arrays_forms","not-impl","data should have required property 'events'"
"td-event-arrays_scopes","not-impl",
"td-event-arrays_security","not-impl",
"td-event-names","not-impl","Error message can be seen in the children assertions"
"td-event-names_cancellation","not-impl",
"td-event-names_data","not-impl",
