"ID","Status","additionalInfo"
"client-data-schema","null","not testable with Assertion Tester"
"client-data-schema-accept-extras","null","not testable with Assertion Tester"
"client-data-schema-no-extras","null","not testable with Assertion Tester"
"client-uri-template","null","not testable with Assertion Tester"
"server-data-schema","null","not testable with Assertion Tester"
"server-data-schema-extras","null","not testable with Assertion Tester"
"server-uri-template","null","not testable with Assertion Tester"
"td-action-arrays","not-impl","Error message can be seen in the children assertions"
"td-action-arrays_forms","pass",
"td-action-arrays_scopes","not-impl","data.actions['CloseValve'] should have required property 'scopes', data.actions['OpenValve'] should have required property 'scopes', data.actions['StartPump'] should have required property 'scopes', data.actions['StopPump'] should have required property 'scopes'"
"td-action-arrays_security","not-impl","data.actions['CloseValve'] should have required property 'security', data.actions['OpenValve'] should have required property 'security', data.actions['StartPump'] should have required property 'security', data.actions['StopPump'] should have required property 'security'"
"td-action-names","not-impl","Error message can be seen in the children assertions"
"td-action-names_description","not-impl","data.actions['CloseValve'] should have required property 'description', data.actions['StartPump'] should have required property 'description', data.actions['StopPump'] should have required property 'description'"
"td-action-names_descriptions","not-impl","data.actions['CloseValve'] should have required property 'descriptions', data.actions['OpenValve'] should have required property 'descriptions', data.actions['StartPump'] should have required property 'descriptions', data.actions['StopPump'] should have required property 'descriptions'"
"td-action-names_forms","pass",
"td-action-names_idempotent","pass",
"td-action-names_output","pass",
"td-action-names_output","pass",
"td-action-names_safe","pass",
"td-action-names_scopes","not-impl","data.actions['CloseValve'] should have required property 'scopes', data.actions['OpenValve'] should have required property 'scopes', data.actions['StartPump'] should have required property 'scopes', data.actions['StopPump'] should have required property 'scopes'"
"td-action-names_security","not-impl","data.actions['CloseValve'] should have required property 'security', data.actions['OpenValve'] should have required property 'security', data.actions['StartPump'] should have required property 'security', data.actions['StopPump'] should have required property 'security'"
"td-action-names_title","pass",
"td-action-names_titles","not-impl","data.actions['CloseValve'] should have required property 'titles', data.actions['OpenValve'] should have required property 'titles', data.actions['StartPump'] should have required property 'titles', data.actions['StopPump'] should have required property 'titles'"
"td-action-names_uriVariables","not-impl","data.actions['CloseValve'] should have required property 'uriVariables', data.actions['OpenValve'] should have required property 'uriVariables', data.actions['StartPump'] should have required property 'uriVariables', data.actions['StopPump'] should have required property 'uriVariables'"
"td-action-objects","pass",
"td-action-objects_input","pass",
"td-action-objects_output","pass",
"td-actions","pass",
"td-actions_existence","pass",
"td-actions_uniqueness","pass",
"td-additional-contexts","not-impl","data['@context'] should be equal to constant, data['@context'] should match ""then"" schema, data['@context'] should match ""else"" schema, data['@context'] should match ""else"" schema, data should match ""then"" schema"
"td-arrays","not-impl","Error message can be seen in the children assertions"
"td-arrays_forms","pass",
"td-arrays_links","not-impl","data should have required property 'links'"
"td-arrays_scopes","not-impl",
"td-arrays_security","pass",
"td-at-type","pass",
"td-content-type-default","null","not testable with Assertion Tester"
"td-context","pass",
"td-context-toplevel","pass",
"td-data-schema","not-impl","Error message can be seen in the children assertions"
"td-data-schema-arrays","not-impl","Error message can be seen in the children assertions"
"td-data-schema-arrays_enum","not-impl",
"td-data-schema-arrays_oneOf","not-impl",
"td-data-schema-arrays_required","not-impl",
"td-data-schema-objects","null","not testable with Assertion Tester"
"td-data-schema_const","not-impl",
"td-data-schema_description","pass",
"td-data-schema_description","pass",
"td-data-schema_descriptions","not-impl",
