"ID","Status","Comment"
"client-data-schema","pass","not testable with Assertion Tester"
"client-data-schema-accept-extras","pass","not testable with Assertion Tester"
"client-data-schema-no-extras","fail","not testable with Assertion Tester"
"client-uri-template","not-impl","not testable with Assertion Tester"
"rdf-transformation","not-impl","not testable with Assertion Tester; is this even an assertion?"
"server-data-schema","not-impl","not testable with Assertion Tester"
"server-data-schema-extras","not-impl","not testable with Assertion Tester"
"server-uri-template","not-impl","not testable with Assertion Tester"
"td-context-ns-dataschema-dereferenceable-url","not-impl","not testale with Assertion Tester"
"td-context-ns-dataschema-mandatory","not-impl","not testale with Assertion Tester"
"td-context-ns-dataschema-map-of-namespaces","not-impl","not testale with Assertion Tester"
"td-context-ns-dataschema-optional","not-impl","not testale with Assertion Tester"
"td-context-ns-dataschema-prefix","not-impl","not testale with Assertion Tester"
"td-context-ns-multilanguage-content-negotiation","not-impl","not testale with Assertion Tester"
"td-context-ns-securityscheme-dereferenceable-url","not-impl","not testale with Assertion Tester"
"td-context-ns-securityscheme-mandatory","not-impl","not testale with Assertion Tester"
"td-context-ns-securityscheme-map-of-namespaces","not-impl","not testale with Assertion Tester"
"td-context-ns-securityscheme-optional","not-impl","not testale with Assertion Tester"
"td-context-ns-securityscheme-prefix","not-impl","not testale with Assertion Tester"
"td-context-ns-thing-dereferenceable-url","not-impl","not testale with Assertion Tester"
"td-context-ns-thing-mandatory","not-impl","not testale with Assertion Tester"
"td-context-ns-thing-map-of-namespaces","not-impl","not testale with Assertion Tester"
"td-context-ns-thing-optional","not-impl","not testale with Assertion Tester"
"td-context-ns-thing-prefix","not-impl","not testale with Assertion Tester"
"td-content-type-default","not-impl","not testable with Assertion Tester"
"td-data-schema-objects","not-impl","not testable with Assertion Tester"
"td-form-protocolbindings","pass","not testable with Assertion Tester"
"td-media-type","not-impl","not testable with Assertion Tester"
"td-idempotent-safe-default","not-impl","not testable with Assertion Tester"
"td-readOnly-observable-writeOnly-default","pass","not testable with Assertion Tester"
"td-security-binding","not-impl","not testable with Assertion Tester"
"td-security-no-extras","not-impl","not testable with Assertion Tester"
"td-default-readOnly","true","not testable with Assertion Tester"
"td-default-writeOnly","true","not testable with Assertion Tester"
"td-default-observable","true","not testable with Assertion Tester"
"td-default-contentType","not-impl","not testable with Assertion Tester"
"td-default-safe","not-impl","not testable with Assertion Tester"
"td-default-idempotent","not-impl","not testable with Assertion Tester"
"td-default-in-1","pass","not testable with Assertion Tester"
"td-default-in-2","not-impl","not testable with Assertion Tester"
"td-default-qop","not-impl","not testable with Assertion Tester"
"td-default-alg","not-impl","not testable with Assertion Tester"
"td-default-format","not-impl","not testable with Assertion Tester"
"td-default-flow","not-impl","not testable with Assertion Tester"
