"ID","Status","Comment"
"client-data-schema","not-impl","not testable with Assertion Tester"
"client-data-schema-accept-extras","not-impl","not testable with Assertion Tester"
"client-data-schema-no-extras","not-impl","not testable with Assertion Tester"
"client-uri-template","not-impl","not testable with Assertion Tester"
"server-data-schema","pass","not testable with Assertion Tester"
"server-data-schema-extras","pass","not testable with Assertion Tester"
"server-uri-template","pass","not testable with Assertion Tester"
"td-content-type-default","pass","not testable with Assertion Tester"
"td-form-protocolbindings","pass","not testable with Assertion Tester"
"td-media-type","pass","not testable with Assertion Tester"
"td-default-readOnly","pass","not testable with Assertion Tester"
"td-default-writeOnly","pass","not testable with Assertion Tester"
"td-default-observable","pass","not testable with Assertion Tester"
"td-default-contentType","pass","not testable with Assertion Tester"
"td-default-safe","pass","not testable with Assertion Tester"
"td-default-idempotent","pass","not testable with Assertion Tester"
