"ID","Status","Comment"
"client-data-schema","not-impl","Another Test"
"client-data-schema-accept-extras","null","not testable with Assertion Tester"
"client-data-schema-no-extras","null","not testable with Assertion Tester"
"client-uri-template","null","not testable with Assertion Tester"
"server-data-schema","null","not testable with Assertion Tester"
"server-data-schema-extras","null","not testable with Assertion Tester"
"server-uri-template","null","not testable with Assertion Tester"
"td-content-type-default","null","not testable with Assertion Tester"
"td-data-schema-objects","null","not testable with Assertion Tester"
"td-form-protocolbindings","null","not testable with Assertion Tester"
"td-media-type","null","not testable with Assertion Tester"
"td-readOnly-observable-default","null","not testable with Assertion Tester"
"td-readOnly-observable-writeOnly-default","null","not testable with Assertion Tester"
"td-security-binding","null","not testable with Assertion Tester"
"td-security-no-extras","null","not testable with Assertion Tester"
