"ID","Status","Comment"
"td-media-type","pass","not testable with Assertion Tester"
"td-security-binding","pass","not testable with Assertion Tester"
"td-security-no-extras","pass","not testable with Assertion Tester"
"td-default-in--NoSecSecurityScheme","pass","not testable with Assertion Tester"
"td-default-in--BasicSecurityScheme","pass","not testable with Assertion Tester"
"td-default-in--DigestSecurityScheme","pass","not testable with Assertion Tester"
"td-default-in--BearerSecurityScheme","not-impl","not testable with Assertion Tester"
"td-default-in--PoPSecurityScheme","not-impl","not testable with Assertion Tester"
"td-default-in--APIKeySecurityScheme","not-impl","not testable with Assertion Tester"
"td-default-qop--DigestSecurityScheme","pass","not testable with Assertion Tester"
"td-default-alg--PoPSecurityScheme","not-impl","not testable with Assertion Tester"
"td-default-alg--BearerSecurityScheme","not-impl","not testable with Assertion Tester"
"td-default-format--BearerSecurityScheme","not-impl","not testable with Assertion Tester"
"td-default-format--PoPSecurityScheme","not-impl","not testable with Assertion Tester"
"td-default-flow--OAuth2SecurityScheme","not-impl","not testable with Assertion Tester"
