"ID","Status","Comment"
"client-data-schema","not-impl","this is a client test"
"client-data-schema-accept-extras","not-impl","this is a client test"
"client-data-schema-no-extras","not-impl","this is a client test"
"client-uri-template","not-impl","this is a client test"
"rdf-transformation","not-impl",
"server-data-schema","pass",
"server-data-schema-extras","not-impl","server returns no additional data"
"server-uri-template","pass",
"td-context-ns-dataschema-dereferenceable-url","not-impl",
"td-context-ns-dataschema-mandatory","not-impl",
"td-context-ns-dataschema-map-of-namespaces","not-impl",
"td-context-ns-dataschema-optional","not-impl",
"td-context-ns-dataschema-prefix","not-impl",
"td-context-ns-multilanguage-content-negotiation","not-impl",
"td-context-ns-securityscheme-dereferenceable-url","not-impl",
"td-context-ns-securityscheme-mandatory","not-impl",
"td-context-ns-securityscheme-map-of-namespaces","not-impl",
"td-context-ns-securityscheme-optional","not-impl",
"td-context-ns-securityscheme-prefix","not-impl",
"td-context-ns-thing-dereferenceable-url","pass",
"td-context-ns-thing-mandatory","pass",
"td-context-ns-thing-map-of-namespaces","pass",
"td-context-ns-thing-optional","pass",
"td-context-ns-thing-prefix","pass",
"td-content-type-default","not-impl","this is a client test"
"td-data-schema-objects","pass",
"td-form-protocolbindings","not-impl",
"td-media-type","not-impl","TD has no 'application/td+json'"
"td-idempotent-safe-default","not-impl","this is a client test"
"td-readOnly-observable-writeOnly-default","not-impl","this is a client test"
"td-security-binding","pass","'bearer' is specified"
"td-security-no-extras","pass","only required mechanism is specified"
"td-default-readOnly","not-impl","this is a client test"
"td-default-writeOnly","not-impl","this is a client test"
"td-default-observable","not-impl","this is a client test"
"td-default-contentType","not-impl","this is a client test"
"td-default-safe","not-impl","this is a client test"
"td-default-idempotent","not-impl","this is a client test"
"td-default-in-1","not-impl","this is a client test"
"td-default-in-2","not-impl","this is a client test"
"td-default-qop","not-impl","this is a client test"
"td-default-alg","not-impl","this is a client test"
"td-default-format","not-impl","this is a client test"
"td-default-flow","not-impl","this is a client test"
