"ID","Status","Comment"
"client-data-schema","pass",
"client-data-schema-accept-extras","pass",
"client-data-schema-no-extras","pass",
"client-uri-template","not-impl","URI template is not supported."
"rdf-transformation","not-impl","this is a server test"
"server-data-schema","not-impl","this is a server test"
"server-data-schema-extras","not-impl","this is a server test"
"server-uri-template","not-impl","this is a server test"
"td-content-type-default","pass",
"td-form-protocolbindings","not-impl","this is a server test"
"td-media-type","not-impl","this is a server test"
"td-idempotent-safe-default","not-impl",
"td-readOnly-observable-writeOnly-default","pass",
"td-security-binding","not-impl","this is a server test"
"td-security-no-extras","not-impl","this is a server test"
"td-default-readOnly","pass",
"td-default-writeOnly","pass",
"td-default-observable","pass",
"td-default-contentType","pass",
"td-default-safe","not-impl",
"td-default-idempotent","not-impl",
"td-default-in--BasicSecurityScheme","not-impl",
"td-default-in--DigestSecurityScheme","not-impl",
"td-default-in--BearerSecurityScheme","pass",
"td-default-in--PoPSecurityScheme","not-impl",
"td-default-in--APIKeySecurityScheme","not-impl",
"td-default-qop--DigestSecurityScheme","not-impl",
"td-default-alg--PoPSecurityScheme","not-impl",
"td-default-alg--BearerSecurityScheme","pass",
"td-default-format--BearerSecurityScheme","pass",
"td-default-format--PoPSecurityScheme","not-impl",
"td-default-flow--OAuth2SecurityScheme","not-impl",
