"ID","Status","Comment"
"client-data-schema","not-impl","not testable with Assertion Tester"
"client-data-schema-accept-extras","pass","not testable with Assertion Tester"
"client-data-schema-no-extras","not-impl","not testable with Assertion Tester"
"client-uri-template","not-impl","not testable with Assertion Tester"
"rdf-transformation","not-impl","not testable with Assertion Tester; is this even an assertion?"
"server-data-schema","not-impl","not testable with Assertion Tester"
"server-data-schema-extras","pass","not testable with Assertion Tester"
"server-uri-template","pass","not testable with Assertion Tester"
"td-context-ns-multilanguage-content-negotiation","not-impl","not testable with Assertion Tester"
"td-content-type-default","pass","not testable with Assertion Tester"
"td-form-protocolbindings","not-impl","not testable with Assertion Tester"
"td-media-type","not-impl","not testable with Assertion Tester"
"td-idempotent-safe-default","pass","not testable with Assertion Tester"
"td-readOnly-observable-writeOnly-default","pass","not testable with Assertion Tester"
"td-security-binding","pass","not testable with Assertion Tester"
"td-security-no-extras","pass","not testable with Assertion Tester"
"td-default-readOnly","pass","not testable with Assertion Tester"
"td-default-writeOnly","pass","not testable with Assertion Tester"
"td-default-observable","pass","not testable with Assertion Tester"
"td-default-contentType","pass","not testable with Assertion Tester"
"td-default-safe","pass","not testable with Assertion Tester"
"td-default-idempotent","pass","not testable with Assertion Tester"
"td-default-in-1","pass","not testable with Assertion Tester"
"td-default-in-2","pass","not testable with Assertion Tester"
"td-default-qop","not-impl","not testable with Assertion Tester"
"td-default-alg","not-impl","not testable with Assertion Tester"
"td-default-format","pass","not testable with Assertion Tester"
"td-default-flow","not-impl","not testable with Assertion Tester"
