"ID","Status","Comment"
"client-data-schema","null",
"client-data-schema-accept-extras","null",
"client-data-schema-no-extras","null",
"client-uri-template","null",
"rdf-transformation","null",
"server-data-schema","null",
"server-data-schema-extras","null",
"server-uri-template","null",
"td-actions","not-impl",
"td-actions_uniqueness","not-impl",
"td-arrays","fail",
"td-arrays_security","fail",
"td-content-type-default","null",
"td-context-ns-dataschema-dereferenceable-url","null",
"td-context-ns-dataschema-mandatory","null",
"td-context-ns-dataschema-map-of-namespaces","null",
"td-context-ns-dataschema-optional","null",
"td-context-ns-dataschema-prefix","null",
"td-context-ns-multilanguage-content-negotiation","null",
"td-context-ns-securityscheme-dereferenceable-url","null",
"td-context-ns-securityscheme-mandatory","null",
"td-context-ns-securityscheme-map-of-namespaces","null",
"td-context-ns-securityscheme-optional","null",
"td-context-ns-securityscheme-prefix","null",
"td-context-ns-thing-dereferenceable-url","null",
"td-context-ns-thing-mandatory","null",
"td-context-ns-thing-map-of-namespaces","null",
"td-context-ns-thing-optional","null",
"td-context-ns-thing-prefix","null",
"td-context-toplevel","fail",
"td-data-schema-objects","null",
"td-default-alg--BearerSecurityScheme","null",
"td-default-alg--PoPSecurityScheme","null",
"td-default-contentType","null",
"td-default-context-of-dataschema","null",
"td-default-context-of-securityscheme","null",
"td-default-context-of-thing","null",
"td-default-flow--OAuth2SecurityScheme","null",
"td-default-format--BearerSecurityScheme","null",
"td-default-format--PoPSecurityScheme","null",
"td-default-idempotent","null",
"td-default-in--APIKeySecurityScheme","null",
"td-default-in--BasicSecurityScheme","null",
"td-default-in--BearerSecurityScheme","null",
"td-default-in--DigestSecurityScheme","null",
"td-default-in--PoPSecurityScheme","null",
"td-default-observable","null",
"td-default-op-actions","null",
"td-default-op-events","null",
"td-default-op-properties","null",
"td-default-qop--DigestSecurityScheme","null",
"td-default-readOnly","null",
"td-default-safe","null",
"td-default-writeOnly","null",
"td-events","not-impl",
"td-events_uniqueness","not-impl",
"td-form-protocolbindings","null",
"td-idempotent-safe-default","null",
"td-media-type","null",
"td-objects","fail",
"td-objects_securityDefinitions","fail",
"td-properties","pass",
"td-properties_uniqueness","pass",
"td-readOnly-observable-writeOnly-default","null",
"td-security-binding","null",
"td-security-mandatory","fail",
"td-security-no-extras","null",
"td-security-schemes","fail",
"td-security-schemes_scheme","fail",
"td-unique-identifiers","pass",
"td-vocab-id--Thing","fail",
"td-vocab-name--Thing","fail",
"td-vocab-security--Thing","fail",
"td-vocab-securityDefinitions--Thing","fail",
"td-vocabulary","fail",
