"ID","Status","Comment"
"client-data-schema","pass",
"client-data-schema-accept-extras","pass",
"client-data-schema-no-extras","pass",
"client-uri-template","not-impl","URI template is not supported."
"td-readOnly-observable-default","not-impl",
"td-readOnly-observable-writeOnly-default","pass",
"td-default-readOnly","pass",
"td-default-writeOnly","not-impl",
"td-default-observable","pass",
"td-default-contentType","pass",
"td-default-safe","not-impl",
"td-default-idempotent","not-impl",
"td-default-in-1","pass",
"td-default-in-2","not-impl",
"td-default-qop","not-impl",
"td-default-alg","not-impl",
"td-default-format","not-impl",
"td-default-flow","not-impl",
