"ID","Status","Comment"
"client-data-schema","null",
"client-data-schema-accept-extras","null",
"client-data-schema-no-extras","null",
"client-uri-template","null",
"rdf-transformation","null",
"server-data-schema","null",
"server-data-schema-extras","null",
"server-uri-template","null",
"td-action-arrays","not-impl",
"td-action-names","not-impl",
"td-action-names_at-type","not-impl",
"td-action-names_description","not-impl",
"td-action-names_descriptions","not-impl",
"td-action-names_forms","not-impl",
"td-action-names_idempotent","not-impl",
"td-action-names_input","not-impl",
"td-action-names_output","not-impl",
"td-action-names_safe","not-impl",
"td-action-names_title","not-impl",
"td-action-names_titles","not-impl",
"td-action-names_uriVariables","not-impl",
"td-action-objects","not-impl",
"td-action-objects_input","not-impl",
"td-action-objects_output","not-impl",
"td-actions","not-impl",
"td-actions_existence","not-impl",
"td-actions_uniqueness","not-impl",
"td-additional-contexts","pass",
"td-arrays","not-impl",
"td-arrays_forms","pass",
"td-arrays_links","not-impl",
"td-arrays_scopes","not-impl",
"td-arrays_security","pass",
"td-at-type","pass",
"td-content-type-default","null",
"td-context","pass",
"td-context-ns-dataschema-dereferenceable-url","null",
"td-context-ns-dataschema-mandatory","null",
"td-context-ns-dataschema-map-of-namespaces","null",
"td-context-ns-dataschema-optional","null",
"td-context-ns-dataschema-prefix","null",
"td-context-ns-multilanguage-content-negotiation","null",
"td-context-ns-securityscheme-dereferenceable-url","null",
"td-context-ns-securityscheme-mandatory","null",
"td-context-ns-securityscheme-map-of-namespaces","null",
"td-context-ns-securityscheme-optional","null",
"td-context-ns-securityscheme-prefix","null",
"td-context-ns-thing-dereferenceable-url","null",
"td-context-ns-thing-mandatory","null",
"td-context-ns-thing-map-of-namespaces","null",
"td-context-ns-thing-optional","null",
"td-context-ns-thing-prefix","null",
"td-context-toplevel","pass",
"td-data-schema","not-impl",
"td-data-schema-arrays","not-impl",
"td-data-schema-arrays_enum","not-impl",
"td-data-schema-arrays_oneOf","not-impl",
"td-data-schema-arrays_required","not-impl",
"td-data-schema-objects","null",
"td-data-schema_at-context","not-impl",
"td-data-schema_at-type","not-impl",
"td-data-schema_const","not-impl",
"td-data-schema_description","pass",
"td-data-schema_descriptions","not-impl",
"td-data-schema_enum","not-impl",
"td-data-schema_format","not-impl",
"td-data-schema_items","not-impl",
"td-data-schema_maxItems","not-impl",
"td-data-schema_maximum-IntegerSchema","not-impl",
"td-data-schema_maximum-NumberSchema","not-impl",
"td-data-schema_minItems","not-impl",
"td-data-schema_minimum-IntegerSchema","not-impl",
"td-data-schema_minimum-NumberSchema","not-impl",
"td-data-schema_oneOf","not-impl",
"td-data-schema_properties","pass",
"td-data-schema_readOnly","pass",
"td-data-schema_required","not-impl",
"td-data-schema_title","not-impl",
"td-data-schema_titles","not-impl",
"td-data-schema_type","pass",
"td-data-schema_unit","not-impl",
"td-data-schema_writeOnly","pass",
"td-default-alg--BearerSecurityScheme","null",
"td-default-alg--PoPSecurityScheme","null",
"td-default-contentType","null",
"td-default-context-of-dataschema","null",
"td-default-context-of-securityscheme","null",
"td-default-context-of-thing","null",
"td-default-flow--OAuth2SecurityScheme","null",
"td-default-format--BearerSecurityScheme","null",
"td-default-format--PoPSecurityScheme","null",
"td-default-idempotent","null",
"td-default-in--APIKeySecurityScheme","null",
"td-default-in--BasicSecurityScheme","null",
"td-default-in--BearerSecurityScheme","null",
"td-default-in--DigestSecurityScheme","null",
"td-default-in--PoPSecurityScheme","null",
"td-default-observable","null",
"td-default-op-actions","null",
"td-default-op-events","null",
"td-default-op-properties","null",
"td-default-qop--DigestSecurityScheme","null",
"td-default-readOnly","null",
"td-default-safe","null",
"td-default-writeOnly","null",
"td-event-arrays","pass",
"td-event-names","not-impl",
"td-event-names_at-type","not-impl",
"td-event-names_cancellation","pass",
"td-event-names_data","pass",
"td-event-names_description","pass",
"td-event-names_descriptions","not-impl",
"td-event-names_forms","pass",
"td-event-names_subscription","pass",
"td-event-names_title","not-impl",
"td-event-names_titles","not-impl",
"td-event-names_uriVariables","not-impl",
"td-event-objects","pass",
"td-event-objects_cancellation","pass",
"td-event-objects_data","pass",
"td-event-objects_subscription","pass",
"td-events","pass",
"td-events_existence","pass",
"td-events_uniqueness","pass",
"td-form-protocolbindings","null",
"td-form-response-object","not-impl",
"td-forms","pass",
"td-forms-response","not-impl",
"td-idempotent-safe-default","null",
"td-integer-type","pass",
"td-jsonld-keywords","pass",
