"ID","Status","Comment"
"client-data-schema","not-impl",
"client-data-schema-accept-extras","pass",
"client-data-schema-no-extras","not-impl",
"client-uri-template","not-impl",
"rdf-transformation","not-impl",
"server-data-schema","not-impl",
"server-data-schema-extras","pass",
"server-uri-template","pass",
"td-context-ns-multilanguage-content-negotiation","not-impl",
"td-content-type-default","pass",
"td-form-protocolbindings","not-impl",
"td-media-type","not-impl",
"td-idempotent-safe-default","pass",
"td-readOnly-observable-writeOnly-default","pass",
"td-security-binding","pass",
"td-security-no-extras","pass",
"td-default-readOnly","pass",
"td-default-writeOnly","pass",
"td-default-observable","pass",
"td-default-contentType","pass",
"td-default-safe","pass",
"td-default-idempotent","pass",
"td-default-in-1","pass",
"td-default-in-2","pass",
"td-default-qop","not-impl",
"td-default-alg","not-impl",
"td-default-format","pass",
"td-default-flow","not-impl",
"td-action-arrays","pass",
"td-action-names","not-impl",
"td-action-names_at-type","not-impl",
"td-action-names_description","pass",
"td-action-names_descriptions","not-impl",
"td-action-names_forms","pass",
"td-action-names_idempotent","pass",
"td-action-names_input","pass",
"td-action-names_output","pass",
"td-action-names_safe","pass",
"td-action-names_title","not-impl",
"td-action-names_titles","not-impl",
"td-action-names_uriVariables","pass",
"td-action-objects","pass",
"td-action-objects_input","pass",
"td-action-objects_output","pass",
"td-actions","pass",
"td-actions_existence","pass",
"td-actions_uniqueness","pass",
"td-additional-contexts","pass",
"td-arrays","not-impl",
"td-arrays_forms","pass",
"td-arrays_links","pass",
"td-arrays_scopes","not-impl",
"td-arrays_security","pass",
"td-at-type","pass",
"td-context","pass",
"td-context-toplevel","pass",
"td-data-schema","not-impl",
"td-data-schema-arrays","pass",
"td-data-schema-arrays_enum","pass",
"td-data-schema-arrays_oneOf","pass",
"td-data-schema-arrays_required","pass",
"td-data-schema-objects","null",
"td-data-schema_at-context","not-impl",
"td-data-schema_at-type","not-impl",
"td-data-schema_const","pass",
"td-data-schema_description","pass",
"td-data-schema_descriptions","pass",
"td-data-schema_enum","pass",
"td-data-schema_format","not-impl",
"td-data-schema_items","pass",
"td-data-schema_maxItems","pass",
"td-data-schema_maximum-IntegerSchema","pass",
"td-data-schema_maximum-NumberSchema","pass",
"td-data-schema_minItems","pass",
"td-data-schema_minimum-IntegerSchema","pass",
"td-data-schema_minimum-NumberSchema","pass",
"td-data-schema_oneOf","pass",
"td-data-schema_properties","pass",
"td-data-schema_readOnly","pass",
"td-data-schema_required","pass",
"td-data-schema_title","pass",
"td-data-schema_titles","pass",
"td-data-schema_type","pass",
"td-data-schema_unit","pass",
"td-data-schema_writeOnly","pass",
"td-event-arrays","pass",
"td-event-names","not-impl",
"td-event-names_at-type","not-impl",
"td-event-names_cancellation","not-impl",
"td-event-names_data","pass",
"td-event-names_description","not-impl",
"td-event-names_descriptions","not-impl",
"td-event-names_forms","pass",
"td-event-names_subscription","not-impl",
"td-event-names_title","not-impl",
"td-event-names_titles","not-impl",
"td-event-names_uriVariables","not-impl",
"td-event-objects","not-impl",
"td-event-objects_cancellation","not-impl",
"td-event-objects_data","pass",
"td-event-objects_subscription","not-impl",
"td-events","pass",
"td-events_existence","pass",
"td-events_uniqueness","pass",
"td-form-response-object","pass",
"td-forms","pass",
"td-forms-response","pass",
"td-integer-type","pass",
"td-jsonld-keywords","pass",
"td-jsonld-keywords_at-context","pass",
"td-jsonld-keywords_at-type","pass",
"td-links","pass",
"td-multi-languages","pass",
"td-multi-languages_descriptions","pass",
"td-multi-languages_titles","pass",
"td-number-type","not-impl",
"td-objects","pass",
"td-objects_actions","pass",
"td-objects_events","pass",
"td-objects_properties","pass",
"td-objects_securityDefinitions","pass",
"td-objects_version","pass",
"td-op-for-action","pass",
"td-op-for-event","pass",
"td-op-for-property","pass",
"td-op-for-thing","pass",
"td-properties","pass",
"td-properties_existence","pass",
"td-properties_uniqueness","pass",
"td-property-arrays","pass",
"td-property-names","not-impl",
"td-property-names_at-type","not-impl",
"td-property-names_const","pass",
"td-property-names_description","pass",
"td-property-names_descriptions","pass",
"td-property-names_enum","pass",
"td-property-names_forms","pass",
"td-property-names_items","pass",
"td-property-names_maxItems","pass",
"td-property-names_maximum","not-impl",
"td-property-names_minItems","pass",
"td-property-names_minimum","not-impl",
"td-property-names_observable","pass",
"td-property-names_oneOf","pass",
"td-property-names_properties","pass",
"td-property-names_readOnly","pass",
"td-property-names_required","pass",
"td-property-names_title","pass",
"td-property-names_titles","pass",
"td-property-names_type","pass",
"td-property-names_unit","pass",
"td-property-names_uriVariables","not-impl",
"td-property-names_writeOnly","pass",
"td-readOnly-observable-default","null",
"td-security-mandatory","pass",
"td-security-overrides","not-impl",
"td-security-schemes","not-impl",
"td-security-schemes_context","not-impl",
"td-security-schemes_description","not-impl",
"td-security-schemes_descriptions","not-impl",
"td-security-schemes_proxy","not-impl",
"td-security-schemes_scheme","pass",
"td-security-schemes_type","not-impl",
"td-simple-form","pass",
"td-string-type","pass",
"td-title-description","pass",
"td-title-description_descriptions","pass",
"td-title-description_titles","pass",
"td-unique-identifiers","pass",
"td-uriVariables-dataschema","pass",
"td-uriVariables-names","pass",
"td-version","pass",
"td-version-container","pass",
"td-vocab-actions--Thing","pass",
"td-vocab-alg--BearerSecurityScheme","not-impl",
"td-vocab-alg--PoPSecurityScheme","not-impl",
"td-vocab-anchor--Link","pass",
"td-vocab-at-context--DataSchema","not-impl",
"td-vocab-at-context--SecurityScheme","not-impl",
"td-vocab-at-context--Thing","pass",
"td-vocab-at-type--DataSchema","not-impl",
"td-vocab-at-type--InteractionAffordance","not-impl",
"td-vocab-at-type--SecurityScheme","not-impl",
"td-vocab-at-type--Thing","pass",
"td-vocab-authorization--BearerSecurityScheme","not-impl",
"td-vocab-authorization--OAuth2SecurityScheme","not-impl",
"td-vocab-authorization--PoPSecurityScheme","not-impl",
"td-vocab-base--Thing","not-impl",
"td-vocab-cancellation--EventAffordance","not-impl",
"td-vocab-const--DataSchema","pass",
"td-vocab-contentType--ExpectedResponse","pass",
"td-vocab-contentType--Form","pass",
"td-vocab-created--Thing","pass",
"td-vocab-data--EventAffordance","pass",
"td-vocab-description--DataSchema","pass",
"td-vocab-description--InteractionAffordance","pass",
"td-vocab-description--SecurityScheme","not-impl",
"td-vocab-description--Thing","pass",
"td-vocab-descriptions--DataSchema","pass",
"td-vocab-descriptions--InteractionAffordance","pass",
"td-vocab-descriptions--SecurityScheme","not-impl",
"td-vocab-descriptions--Thing","pass",
"td-vocab-enum--DataSchema","pass",
"td-vocab-events--Thing","pass",
"td-vocab-flow--OAuth2SecurityScheme","not-impl",
"td-vocab-format--BearerSecurityScheme","not-impl",
"td-vocab-format--DataSchema","not-impl",
"td-vocab-format--PoPSecurityScheme","not-impl",
"td-vocab-forms--InteractionAffordance","pass",
"td-vocab-forms--Thing","pass",
"td-vocab-href--Form","pass",
"td-vocab-href--Link","pass",
"td-vocab-id--Thing","pass",
"td-vocab-idempotent--ActionAffordance","pass",
"td-vocab-identity--CertSecurityScheme","not-impl",
"td-vocab-identity--PSKSecurityScheme","not-impl",
"td-vocab-identity--PublicSecurityScheme","not-impl",
"td-vocab-in--APIKeySecurityScheme","not-impl",
"td-vocab-in--BasicSecurityScheme","pass",
